Ticker,Stock_Price,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Gain On Sale Of Security,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Total Revenue,Operating Revenue,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Liabilities,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Dueto Related Parties Current,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Current Assets,Prepaid Assets,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Other Non Cash Items,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,Net Interest Income,Interest Income,Tax Provision,Net Non Operating Interest Income Expense,Interest Income Non Operating,Other Operating Expenses,Derivative Product Liabilities,Tradeand Other Payables Non Current,Current Notes Payable,Total Tax Payable,Income Tax Payable,Other Current Assets,Income Tax Paid Supplemental Data,Long Term Debt Issuance,Change In Tax Payable,Change In Income Tax Payable,Other Taxes,Preferred Securities Outside Stock Equity,Non Current Deferred Taxes Liabilities,Interest Paid Supplemental Data,Deferred Tax,Deferred Income Tax,Interest Expense,Other Non Operating Income Expenses,Interest Expense Non Operating,Treasury Shares Number,Long Term Debt And Capital Lease Obligation,Long Term Debt,Interest Payable,Non Current Prepaid Assets,Non Current Deferred Assets,Proceeds From Stock Option Exercised,Change In Other Working Capital,Change In Interest Payable,Unrealized Gain Loss On Investment Securities,Non Current Deferred Revenue,Receivables,Other Receivables,Interest Received Cfi,Change In Receivables,Special Income Charges,Restructuring And Mergern Acquisition,Total Other Finance Cost,Current Deferred Assets,Change In Other Current Assets
22.3,10.59000015258789,873346.74,0.21,-7045077.0,4158794.0,4158794.0,1272511.0,-2886283.0,-2886283.0,-2012936.26,1272511.0,2886283.0,-2886283.0,-1.0,-1.0,-1.0,-1.0,1272511.0,1272511.0,1272511.0,1272511.0,1272511.0,1272511.0,4158794.0,4158794.0,-2886283.0,2886283.0,2886283.0,2886283.0,2886283.0,0.0,0.0,9550705.0,9550705.0,1442431.0,1500000.0,41508333.0,43008333.0,-11679397.0,41508333.0,41508333.0,41508333.0,41508333.0,41508333.0,-2974255.0,0.0,44482588.0,44482588.0,0.0,11741465.0,0.0,0.0,11741465.0,8605678.0,1500000.0,1500000.0,1500000.0,1635787.0,1299147.0,336640.0,241414.0,95226.0,53249798.0,53187730.0,53187730.0,62068.0,4499.0,57569.0,57569.0,57569.0,-2020097.0,-168236768.0,-1.0,1500000.0,-1.0,57569.0,336252.0,-278683.0,-166495354.0,-166495354.0,241414.0,-168236768.0,-168236768.0,-1.0,1500000.0,1500000.0,-1.0,1500000.0,-1.0,-1.0,168236768.0,168236768.0,168236768.0,-2020097.0,-2020097.0,866186.0,784286.0,691051.0,93235.0,93235.0,81900.0,-1.0,-4158794.0,-4158794.0,1272511.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22.2,10.0600004196167,599580.87,0.21,-4213071.0,2855147.0,2855147.0,1497223.0,-1357924.0,-1357924.0,-758343.13,1497223.0,1357924.0,-1357924.0,27422180.0,27422180.0,0.05,0.05,1497223.0,1497223.0,1497223.0,1497223.0,1497223.0,1497223.0,2855147.0,2855147.0,-1357924.0,1357924.0,1357924.0,1357924.0,1357924.0,0.0,0.0,26796875.0,26796875.0,-1.0,-1.0,209575143.0,209575143.0,-187436.0,209575143.0,209575143.0,209575143.0,209575143.0,209575143.0,-7591097.0,0.0,217166240.0,217166240.0,0.0,8113212.0,7503125.0,7503125.0,610087.0,-1.0,-1.0,-1.0,-1.0,610087.0,608096.0,1991.0,0.0,1991.0,217688355.0,217265704.0,217265704.0,422651.0,86399.0,336252.0,336252.0,336252.0,-562110.0,0.0,0.0,0.0,0.0,336252.0,983362.0,-647110.0,-85000.0,-85000.0,-85000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-562110.0,-562110.0,795814.0,470188.0,546497.0,-76309.0,-76309.0,325626.0,-1.0,-2855147.0,-2855147.0,1497223.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22.1,9.70009994506836,0.0,0.0,-813997.0,35557.0,35557.0,-742883.0,-778440.0,-778440.0,-778440.0,-742883.0,778440.0,-778440.0,22436860.0,22436860.0,-0.03,-0.03,-742883.0,-742883.0,-742883.0,-742883.0,-742883.0,-742883.0,35557.0,35557.0,-778440.0,778440.0,778440.0,778440.0,778440.0,0.0,0.0,27425625.0,27425625.0,-1.0,-1.0,208077920.0,208077920.0,1170488.0,208077920.0,208077920.0,208077920.0,208077920.0,208077920.0,-6297679.0,0.0,214375599.0,214375599.0,0.0,7728024.0,7503125.0,7503125.0,224899.0,-1.0,-1.0,-1.0,-1.0,224899.0,61599.0,163300.0,-1.0,163300.0,215805944.0,214410557.0,214410557.0,1395387.0,412025.0,983362.0,983362.0,983362.0,-1025566.0,-1.0,-80693.0,-1.0,220662500.0,983362.0,0.0,983362.0,216383928.0,216383928.0,-4197879.0,220662500.0,-1.0,220662500.0,-80693.0,-80693.0,-80693.0,-1.0,-80693.0,-80693.0,-214375000.0,-214375000.0,-214375000.0,-1025566.0,-1025566.0,-272126.0,139899.0,61599.0,78300.0,78300.0,-412025.0,25000.0,-35557.0,-35557.0,-742883.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25.3,10.220000267028809,129467.851,0.241,-1927032.0,537211.0,537211.0,4095236.0,-1389821.0,-1389821.0,3687492.851,4095236.0,1389821.0,-1389821.0,-1.0,-1.0,-1.0,-1.0,4095236.0,4095236.0,4095236.0,4095236.0,4095236.0,5305740.0,537211.0,537211.0,-1389821.0,1389821.0,-1.0,-1.0,-1.0,0.0,0.0,10078338.0,10078338.0,767998.0,781000.0,22645189.0,23426189.0,-5959611.0,22645189.0,22645189.0,22645189.0,22645189.0,22645189.0,-14381397.0,0.0,37026586.0,37026586.0,0.0,14646199.0,8668584.0,-1.0,5977615.0,-1.0,781000.0,781000.0,781000.0,5196615.0,-1.0,5196615.0,-1.0,1664765.0,37291388.0,37273384.0,37273384.0,18004.0,5002.0,13002.0,13002.0,13002.0,-2159464.0,-207089563.0,-604000.0,1179000.0,-1.0,13002.0,32022.0,-19020.0,-206514563.0,-206514563.0,-1.0,-207089563.0,-207089563.0,-1.0,575000.0,575000.0,-604000.0,1179000.0,-1.0,-1.0,208655007.0,208655007.0,208655007.0,-2159464.0,-2159464.0,440861.0,324646.0,-1.0,324646.0,-461869.0,116215.0,-6158350.0,-537211.0,-537211.0,4095236.0,6158350.0,6158350.0,1210504.0,6158350.0,6158350.0,1389821.0,390110.0,8278474.0,-1.0,3531850.0,1460954.0,-1.0,368989.0,-1.0,786515.0,786515.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25.2,9.920000076293945,784511.56,0.245,-6277346.0,3202088.0,3202088.0,2862308.0,-3075258.0,-3075258.0,444731.56,2862308.0,3075258.0,-3075258.0,30214036.0,6561252.0,0.094734,0.436244,2862308.0,2862308.0,2862308.0,2862308.0,2862308.0,3536747.0,3202088.0,3202088.0,-3075258.0,3075258.0,-1.0,-1.0,-1.0,0.0,0.0,30214036.0,30214036.0,173978.0,206000.0,227710412.0,227916412.0,-2853838.0,227710412.0,227710412.0,227710412.0,227710412.0,227710412.0,-11696926.0,0.0,239407338.0,239407338.0,0.0,12212872.0,9205795.0,8278474.0,3007077.0,-1.0,206000.0,206000.0,206000.0,2801077.0,-1.0,2801077.0,-1.0,2126638.0,239923284.0,239770045.0,239770045.0,153239.0,121217.0,32022.0,32022.0,32022.0,-908794.0,0.0,0.0,206000.0,0.0,32022.0,559285.0,-527263.0,206000.0,206000.0,-1.0,0.0,0.0,0.0,206000.0,206000.0,0.0,206000.0,-1.0,-1.0,175531.0,175531.0,175531.0,-908794.0,-908794.0,2840903.0,2588177.0,-1.0,2588177.0,2279738.0,252726.0,-3409917.0,-3202088.0,-3202088.0,2862308.0,3409917.0,3409917.0,674439.0,3409917.0,3409917.0,3075258.0,927321.0,8278474.0,206000.0,674439.0,674439.0,-1.0,0.0,-1.0,308439.0,308439.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25.1,9.75,0.0,0.0,-1637870.0,732055.0,732055.0,-165906.0,-905815.0,-905815.0,-897961.0,-165906.0,905815.0,-905815.0,18004276.0,18004276.0,-0.01,-0.01,-165906.0,-165906.0,-165906.0,-165906.0,-165906.0,-165906.0,732055.0,732055.0,-905815.0,905815.0,905815.0,905815.0,905815.0,0.0,0.0,30214036.0,30214036.0,-1.0,-1.0,224848104.0,224848104.0,720328.0,224848104.0,224848104.0,224848104.0,224848104.0,224848104.0,-11688211.0,0.0,236536315.0,236536315.0,0.0,12620783.0,12407883.0,8278474.0,212900.0,-1.0,-1.0,-1.0,-1.0,212900.0,-1.0,212900.0,-1.0,212900.0,237468887.0,236535659.0,236535659.0,933228.0,373943.0,559285.0,559285.0,559285.0,-797018.0,-1.0,-105000.0,105000.0,238302843.0,559285.0,0.0,559285.0,237884143.0,237884143.0,-418700.0,238302843.0,-1.0,238302843.0,0.0,0.0,-105000.0,105000.0,-105000.0,-105000.0,-236527840.0,-236527840.0,-236527840.0,-797018.0,-797018.0,-161043.0,212900.0,-1.0,212900.0,212900.0,-373943.0,-7819.0,-462250.0,-462250.0,-165906.0,7854.0,7854.0,0.0,7854.0,7854.0,905815.0,4129409.0,8278474.0,0.0,0.0,0.0,-3.0,-1.0,105000.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29.2,10.779999732971191,0.0,0.21,-1249577.0,-1.0,-1.0,1336935.0,-1249577.0,-1249577.0,1336935.0,1336935.0,1249577.0,-1249577.0,-1.0,-1.0,-1.0,-1.0,1336935.0,1336935.0,1336935.0,1336935.0,1336935.0,2414627.0,-1.0,-1.0,-1249577.0,1249577.0,-1.0,-1.0,-1.0,0.0,0.0,7487243.0,7487243.0,2144170.0,2162500.0,47884043.0,50046543.0,-2770337.0,47884043.0,47884043.0,47884043.0,47884043.0,47884043.0,-6119758.0,0.0,54003801.0,54003801.0,0.0,6255643.0,3421250.0,3421250.0,2834393.0,-1.0,2162500.0,2162500.0,2162500.0,671893.0,97513.0,574380.0,-1.0,-1.0,54139686.0,54075630.0,54075630.0,64056.0,45726.0,18330.0,18330.0,18330.0,-2579809.0,-50225065.0,0.0,2162500.0,0.0,18330.0,546632.0,-528302.0,-48062565.0,-48062565.0,-1.0,-50225065.0,-50225065.0,0.0,2162500.0,2162500.0,0.0,2162500.0,-1.0,-1.0,50114072.0,50114072.0,50114072.0,-2579809.0,-2579809.0,-252540.0,-375305.0,5737.0,-381042.0,-1.0,122765.0,-3664204.0,-1.0,-1.0,1336935.0,3664204.0,3664204.0,1077692.0,3664204.0,3664204.0,1167531.0,-1.0,-1.0,-1.0,574380.0,35748.0,-1.0,1463923.0,-1.0,-381042.0,-381042.0,82046.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29.1,10.229999542236328,0.0,0.21,-508379.0,-1.0,-1.0,404616.0,-508379.0,-508379.0,404616.0,404616.0,508379.0,-508379.0,8067071.0,8067071.0,0.67,0.67,404616.0,404616.0,404616.0,404616.0,404616.0,800869.0,-1.0,-1.0,-508379.0,508379.0,-1.0,-1.0,-1.0,0.0,0.0,12777625.0,12777625.0,-1.0,-1.0,97274424.0,97274424.0,170176.0,97274424.0,97274424.0,97274424.0,97274424.0,97274424.0,-2798202.0,0.0,100072626.0,100072626.0,0.0,3966197.0,3421250.0,3421250.0,544947.0,-1.0,-1.0,-1.0,-1.0,544947.0,91776.0,453171.0,-1.0,-1.0,101240621.0,100525498.0,100525498.0,715123.0,168491.0,546632.0,546632.0,546632.0,-528176.0,0.0,-280000.0,280000.0,102763750.0,546632.0,0.0,546632.0,100291058.0,100291058.0,-2472692.0,102763750.0,0.0,102763750.0,0.0,0.0,-280000.0,280000.0,-1.0,-1.0,-99216250.0,-99216250.0,-99216250.0,-528176.0,-528176.0,376456.0,544947.0,91776.0,453171.0,-1.0,-168491.0,-1309248.0,-1.0,-1.0,404616.0,1309248.0,1309248.0,396253.0,1309248.0,1309248.0,451461.0,-1.0,-1.0,-1.0,453171.0,396253.0,-1.0,0.0,-1.0,453171.0,453171.0,56918.0,100205591.0,68352.0,0.0,68352.0,68352.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
43.3,10.850000381469727,0.0,0.0,-792001.0,-1.0,-1.0,-862919.0,-792001.0,-792001.0,-862919.0,-862919.0,8349476.0,-8349476.0,-1.0,-1.0,-1.0,-1.0,-862919.0,-862919.0,-862919.0,-862919.0,-862919.0,-862919.0,-599222.0,-1.0,-8349476.0,8349476.0,8349476.0,8349476.0,8349476.0,0.0,0.0,13644801.0,13644801.0,2288859.0,2450083.0,70974678.0,73424761.0,-750318.0,70974678.0,70974678.0,73424761.0,70974678.0,70974678.0,-15290976.0,0.0,86265654.0,86265654.0,0.0,15495929.0,14540083.0,4040000.0,955846.0,-1.0,-1.0,-1.0,-1.0,955846.0,70918.0,884928.0,-1.0,884928.0,86470607.0,86265079.0,86265079.0,205528.0,-1.0,161224.0,161224.0,161224.0,-3043848.0,-161041354.0,0.0,2673952.0,0.0,161224.0,616120.0,-454896.0,-158452402.0,-158452402.0,-85000.0,-161041354.0,-161041354.0,0.0,2673952.0,2673952.0,0.0,2673952.0,-1.0,-1.0,161041354.0,161041354.0,161041354.0,-3043848.0,-3043848.0,5376546.0,925498.0,925498.0,-1.0,-1.0,571048.0,-8156697.0,-1.0,-1.0,-862919.0,8085779.0,8156697.0,-1.0,8085779.0,8156697.0,-1.0,-1.0,8050000.0,-1.0,-1.0,-1.0,44304.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70918.0,-599222.0,70918.0,0.0,2450083.0,2450083.0,70918.0,0.0,-1.0,0.0,3880000.0,70918.0,599222.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
43.2,10.449999809265137,0.0,0.21,1890290.0,-1.0,-1.0,1890290.0,1890290.0,1890290.0,1890290.0,1890290.0,1509446.0,-1509446.0,27643835.0,27643835.0,0.07,0.07,1890290.0,1890290.0,1890290.0,1890290.0,1890290.0,1890290.0,-1.0,-1.0,-1509446.0,1509446.0,1509446.0,1509446.0,1509446.0,0.0,0.0,28750000.0,28750000.0,-1.0,-1.0,232055860.0,232055860.0,1091655.0,232055860.0,232055860.0,232055860.0,232055860.0,232055860.0,-7094451.0,0.0,239150311.0,239150311.0,0.0,8325348.0,8210000.0,160000.0,115348.0,-1.0,-1.0,-1.0,-1.0,115348.0,85000.0,30348.0,-1.0,30348.0,240381208.0,239174205.0,239149736.0,1207003.0,-1.0,616120.0,616120.0,616120.0,-1932401.0,-1.0,-240629.0,75.0,225406221.0,616120.0,0.0,616120.0,238298521.0,238298521.0,-417146.0,225406221.0,-1.0,225406221.0,-240554.0,-240554.0,-240629.0,75.0,-1.0,-1.0,-235750000.0,-235750000.0,-235750000.0,-1932401.0,-1932401.0,-422955.0,30348.0,30348.0,-1.0,-1.0,-613303.0,-3399736.0,-1.0,-1.0,1890290.0,3399736.0,3399736.0,-1.0,3399736.0,3399736.0,-1.0,-1.0,8050000.0,0.0,-1.0,-1.0,590883.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24469.0,0.0,13550000.0,160000.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
