Action,Ticker,Data_Price,Predicted_Price,Price_Discount,CurrentPrice,Current_Profit
Buy,HPP,8.84000015258789,[20.08],[127.12]%,6.329999923706055,-28.39%
Sell,AXP,185.9600067138672,[129.56],[43.53]%,218.1999969482422,-14.78%
Buy,FPH,2.940000057220459,[13.16],[347.51]%,3.119999885559082,6.12%
Buy,NMRK,10.520000457763672,[16.32],[55.12]%,10.369999885559082,-1.43%
Sell,AMP,376.1400146484375,[278.04],[35.28]%,422.4800109863281,-10.97%
Sell,PFSI,88.54000091552734,[54.91],[61.25]%,89.20999908447266,-0.75%
Sell,DLR,135.19000244140625,[98.46],[37.3]%,143.22999572753906,-5.61%
Sell,AJG,222.08999633789065,[116.16],[91.2]%,238.1699981689453,-6.75%
Buy,ILPT,4.550000190734863,[7.13],[56.72]%,4.039999961853027,-11.21%
Buy,HCDIQ,0.1509999930858612,[1.83],[1111.11]%,0.029999999329447746,-80.13%
Buy,UNIT,5.449999809265137,[7.53],[38.13]%,5.699999809265137,4.59%
Buy,WHLR,0.2899999916553497,[1.78],[514.34]%,0.14499999582767487,-50.0%
Sell,AGM,189.32000732421875,[135.5],[39.72]%,185.3699951171875,2.13%
Buy,AHT,1.950000047683716,[4.01],[105.79]%,1.4800000190734863,-24.1%
Sell,EXR,156.9199981689453,[88.78],[76.75]%,143.1999969482422,9.58%
Sell,BLK,803.4400024414062,[522.04],[53.9]%,785.9600219726562,2.22%
Buy,BMTX,2.25,[4.82],[114.03]%,1.5,-33.33%
Sell,NWLI,482.5,[331.48],[45.56]%,490.3299865722656,-1.6%
Sell,WTM,1478.260009765625,[664.44],[122.48]%,1701.010009765625,-13.1%
Buy,FRGE,3.880000114440918,[5.19],[33.79]%,2.25,-42.01%
Sell,GS,380.6499938964844,[229.47],[65.88]%,397.4800109863281,-4.23%
Buy,OWL,14.93000030517578,[20.35],[36.3]%,18.8700008392334,26.39%
Sell,CME,214.52999877929688,[157.68],[36.05]%,212.77000427246094,0.83%
Buy,FGF,1.4800000190734863,[2.08],[40.35]%,1.3700000047683716,-7.43%
Sell,FCNCA,1431.239990234375,[415.54],[244.43]%,1601.0,-10.6%
Sell,EQIX,797.530029296875,[531.01],[50.19]%,773.8200073242188,3.06%

Total Current Profit:
-11,21%
