Action,Ticker,Data_Price,Predicted_Price,Price_Discount,CurrentPrice,Current_Profit
Buy,BW,1.4500000476837158,[23.37],[1511.73]%,1.0499999523162842,-27.59%
Sell,ADBE,618.7999877929688,[35.22],[1656.72]%,474.0899963378906,30.52%
Sell,INTU,496.5899963378906,[36.31],[1267.63]%,621.1099853515625,-20.05%
Sell,KLAC,458.1000061035156,[36.53],[1153.89]%,680.780029296875,-32.71%
Buy,VATE,1.1100000143051147,[32.33],[2812.51]%,0.6700000166893005,-39.64%
Sell,AVGO,841.0999755859375,[36.03],[2234.73]%,1344.0699462890625,-37.42%
Buy,DM,0.7699999809265137,[13.31],[1628.99]%,0.9559999704360962,24.16%
Sell,LII,444.1499938964844,[33.65],[1219.8]%,471.1600036621094,-5.73%
Sell,MCK,350.20001220703125,[21.91],[1498.08]%,523.010009765625,-33.04%
Sell,TDG,842.6199951171875,[33.43],[2420.71]%,1220.3800048828125,-30.95%
Sell,EQIX,797.530029296875,[35.71],[2133.62]%,764.0499877929688,4.38%
Sell,VIAV,10.460000038146973,[-2.99],[-449.27]%,8.449999809265137,23.79%
Buy,PLBY,0.8510000109672546,[18.16],[2033.84]%,0.8980000019073486,5.52%
Sell,MSCI,562.280029296875,[35.17],[1498.77]%,526.6199951171875,6.77%
Buy,VWE,0.9890000224113464,[26.44],[2573.45]%,0.27000001072883606,-72.7%
Sell,GHC,694.0,[36.09],[1823.02]%,716.3099975585938,-3.11%
Buy,RXT,1.7899999618530271,[32.17],[1696.97]%,1.6699999570846558,-6.7%

Total Current Profit:
-12,60%
