iter	MAPE	RMSE
0	20.53498247	1877.033601
1	19.84132365	1843.296751
2	19.18381419	1815.295539
3	18.51744338	1783.026933
4	17.9309719	1751.685597
5	17.37715192	1721.012047
6	16.91525053	1691.359803
7	16.38851619	1662.182352
8	15.85379526	1633.786698
9	15.33663661	1605.943626
10	14.84724907	1579.09194
11	14.3938149	1552.703409
12	13.96842961	1527.038665
13	13.56536745	1501.817356
14	13.15133834	1477.514841
15	12.72335521	1453.345824
16	12.3493098	1430.032612
17	11.98521154	1407.241823
18	11.64458637	1385.132577
19	11.26740015	1363.625793
20	10.94286037	1342.706404
21	10.6280512	1322.006264
22	10.28847328	1301.804383
23	10.0453615	1282.76167
24	9.766702182	1263.61647
25	9.500560585	1247.774009
26	9.216487437	1229.772163
27	8.95518524	1212.219618
28	8.694624249	1195.227895
29	8.440682241	1178.678439
30	8.208985578	1162.483216
31	7.979629113	1146.966444
32	7.757932193	1131.528627
33	7.561958442	1116.75865
34	7.362938523	1102.265043
35	7.153929874	1088.202682
36	6.997273227	1074.413227
37	6.811553038	1061.176114
38	6.650494046	1048.42969
39	6.468127925	1035.850941
40	6.30481849	1023.545179
41	6.16796362	1011.757965
42	6.024038304	1000.265861
43	5.903196939	989.3526046
44	5.754197813	978.6015527
45	5.618500607	968.2990907
46	5.487570659	958.251213
47	5.371405675	948.6012749
48	5.231553569	939.2175207
49	5.090711875	930.0296281
50	4.995230907	921.1790752
51	4.86982629	912.6214788
52	4.770092642	904.2321362
53	4.676668435	896.116714
54	4.549742913	888.2745281
55	4.459607723	880.7673516
56	4.365038476	873.427413
57	4.265121348	866.2172197
58	4.177375525	859.3554808
59	4.096132118	852.860081
60	4.023367024	846.3790211
61	3.949693059	840.1056364
62	3.885221605	834.0263206
63	3.802928957	828.3537367
64	3.711247611	822.7684531
65	3.64243306	817.4005402
66	3.582434649	812.1243986
67	3.516523389	807.2106321
68	3.464853495	802.2527032
69	3.414893916	797.6941752
70	3.351085143	793.2050488
71	3.296028895	788.7782211
72	3.24145942	784.642994
73	3.201518554	780.4578934
74	3.149900946	776.5853355
75	3.104805562	772.7436128
76	3.058803382	769.1413127
77	3.00684763	765.7467866
78	2.951891401	762.2437427
79	2.9201272	759.004689
80	2.856362469	755.7911986
81	2.820960273	752.7630469
82	2.781278802	749.7949477
83	2.732794508	746.9367945
84	2.692516832	744.276762
85	2.647417074	741.5538013
86	2.600132187	739.0998184
87	2.558336349	736.7030365
88	2.507490304	734.3990456
89	2.473231776	732.0671647
90	2.443149204	729.9294424
91	2.394799102	727.9947757
92	2.357035029	725.962587
93	2.327355043	723.991153
94	2.301402944	721.7814973
95	2.276244874	719.9610813
96	2.237320528	718.094532
97	2.198842971	716.4797339
98	2.15535919	714.590725
99	2.128981579	713.0879633
100	2.13802694	713.0059914
101	2.101931922	711.5081291
102	2.085914843	710.012756
103	2.058081161	708.7052801
104	2.028495984	707.4229245
105	1.99747744	706.118452
106	1.985726971	704.860249
