iter	Passed	Remaining
0	156	546357
1	174	305435
2	191	223707
3	211	184845
4	229	160135
5	247	143934
6	265	132362
7	282	123474
8	301	117087
9	320	111707
10	337	107009
11	356	103482
12	373	100283
13	391	97472
14	408	94959
15	425	92679
16	442	90753
17	460	89145
18	477	87467
19	494	86019
20	511	84704
21	527	83463
22	545	82410
23	562	81433
24	579	80516
25	595	79567
26	613	78850
27	629	78102
28	646	77424
29	663	76728
30	681	76217
31	698	75670
32	715	75203
33	733	74791
34	750	74337
35	768	73930
36	784	73443
37	802	73087
38	818	72666
39	834	72204
40	851	71857
41	867	71449
42	883	71060
43	900	70692
44	916	70351
45	932	70002
46	948	69695
47	965	69441
48	983	69235
49	999	68960
50	1015	68680
51	1031	68408
52	1048	68207
53	1065	67981
54	1081	67747
55	1099	67590
56	1115	67376
57	1132	67207
58	1149	67018
59	1166	66884
60	1183	66740
61	1200	66562
62	1216	66383
63	1233	66235
64	1250	66079
65	1254	65259
66	1270	65098
67	1288	65029
68	1306	64954
69	1322	64813
70	1339	64674
71	1355	64539
72	1372	64448
73	1390	64361
74	1408	64301
75	1424	64191
76	1441	64084
77	1458	63967
78	1474	63841
79	1490	63738
80	1507	63635
81	1524	63543
82	1541	63442
83	1557	63333
84	1574	63243
85	1592	63212
86	1611	63233
87	1628	63143
88	1644	63037
89	1661	62949
90	1678	62877
91	1694	62781
92	1710	62672
93	1726	62571
94	1743	62480
95	1759	62383
96	1775	62282
97	1793	62247
98	1809	62175
99	1825	62083
100	1833	61708
101	1850	61634
102	1866	61546
103	1882	61480
104	1899	61417
105	1916	61358
106	1933	61322
107	1952	61323
108	1970	61307
109	1988	61278
110	2005	61242
111	2023	61209
112	2040	61158
113	2058	61135
114	2075	61091
115	2092	61034
116	2108	60974
117	2125	60921
118	2141	60847
119	2157	60771
120	2173	60698
121	2189	60628
122	2205	60552
123	2221	60475
124	2236	60398
125	2252	60322
126	2268	60258
127	2285	60196
128	2303	60199
129	2320	60144
130	2335	60076
131	2351	60004
132	2367	59947
133	2384	59885
134	2399	59816
135	2415	59750
136	2431	59687
137	2447	59629
138	2464	59583
139	2480	59532
140	2496	59485
141	2513	59431
142	2529	59387
143	2546	59356
144	2563	59312
145	2579	59264
146	2596	59229
147	2613	59194
148	2630	59151
149	2647	59117
150	2663	59068
151	2679	59027
152	2696	58992
153	2713	58946
154	2730	58921
155	2746	58874
156	2765	58891
157	2783	58885
158	2800	58849
159	2817	58811
160	2833	58773
161	2850	58737
162	2866	58690
163	2883	58658
164	2900	58630
165	2917	58600
166	2935	58579
167	2957	58650
168	2981	58775
169	3002	58809
170	3022	58842
171	3041	58856
172	3061	58885
173	3082	58918
174	3102	58951
175	3124	59006
176	3141	58984
177	3160	58985
178	3178	58967
179	3195	58947
180	3213	58925
181	3232	58929
182	3250	58923
183	3269	58913
184	3286	58890
185	3304	58877
186	3322	58861
187	3341	58866
188	3358	58840
189	3376	58823
190	3393	58793
191	3410	58759
192	3426	58718
193	3443	58676
194	3459	58642
195	3476	58604
196	3492	58561
197	3509	58521
198	3525	58480
199	3542	58450
200	3558	58413
201	3575	58375
202	3591	58338
203	3608	58299
204	3624	58257
205	3641	58222
206	3657	58189
207	3674	58160
208	3691	58133
209	3709	58110
210	3725	58078
211	3742	58049
212	3759	58018
213	3776	57987
214	3794	57969
215	3811	57942
216	3827	57908
217	3844	57886
218	3861	57849
219	3877	57815
220	3894	57777
221	3910	57737
222	3927	57710
223	3944	57694
224	3962	57674
225	3979	57648
226	4000	57683
227	4020	57704
228	4044	57771
229	4067	57823
230	4089	57876
231	4116	57984
232	4138	58031
233	4159	58051
234	4175	58015
235	4192	57983
236	4209	57955
237	4229	57965
238	4248	57968
239	4270	58004
240	4289	58003
241	4308	58008
242	4329	58028
243	4351	58068
244	4377	58163
245	4402	58232
246	4425	58279
247	4450	58357
248	4477	58457
249	4507	58593
250	4536	58727
251	4566	58851
252	4590	58914
253	4614	58966
254	4637	59011
255	4660	59051
256	4683	59098
257	4707	59152
258	4733	59235
259	4752	59223
260	4769	59194
261	4787	59164
262	4804	59136
263	4822	59111
264	4839	59073
265	4855	59035
266	4872	58997
267	4888	58958
268	4905	58922
269	4923	58899
270	4942	58893
271	4966	58941
272	4995	59044
273	5022	59131
274	5044	59163
275	5063	59150
276	5082	59140
277	5102	59141
278	5122	59139
279	5142	59136
280	5161	59122
281	5179	59106
282	5197	59086
283	5216	59071
284	5233	59039
285	5254	59045
286	5273	59034
287	5298	59087
288	5324	59155
289	5349	59209
290	5377	59300
291	5405	59389
292	5431	59449
293	5455	59488
294	5478	59521
295	5498	59518
296	5516	59496
297	5535	59483
298	5554	59465
299	5573	59450
300	5592	59436
301	5612	59431
302	5632	59427
303	5651	59416
304	5669	59391
305	5686	59355
306	5703	59319
307	5720	59281
308	5736	59238
309	5753	59201
310	5769	59157
311	5786	59127
312	5805	59109
313	5822	59077
314	5839	59047
315	5857	59016
316	5873	58980
317	5891	58949
318	5909	58926
319	5928	58910
320	5947	58903
321	5965	58873
322	5981	58835
323	5999	58811
324	6014	58758
325	6028	58699
326	6045	58660
327	6060	58613
328	6075	58555
329	6092	58520
330	6108	58478
331	6125	58448
332	6143	58423
333	6160	58395
334	6177	58359
335	6193	58325
336	6209	58278
337	6225	58236
338	6239	58178
339	6253	58120
340	6268	58066
341	6282	58015
342	6297	57959
343	6311	57907
344	6326	57852
345	6340	57800
346	6355	57752
347	6370	57697
348	6385	57654
349	6401	57613
350	6416	57563
351	6430	57510
352	6444	57456
353	6459	57406
354	6474	57357
355	6489	57307
356	6503	57259
357	6518	57207
358	6534	57168
359	6548	57120
360	6562	57067
361	6577	57016
362	6592	56968
363	6607	56922
364	6621	56875
365	6637	56834
366	6652	56790
367	6667	56749
368	6682	56702
369	6697	56658
370	6713	56618
371	6727	56572
372	6742	56527
373	6757	56479
374	6772	56437
375	6790	56418
376	6805	56374
377	6820	56332
378	6835	56285
379	6849	56240
380	6864	56196
381	6879	56152
382	6894	56112
383	6911	56081
384	6928	56054
385	6943	56012
386	6957	55967
387	6972	55925
388	6987	55882
389	7003	55844
390	7018	55809
391	7033	55769
392	7051	55747
393	7067	55711
394	7082	55677
395	7099	55645
396	7114	55610
397	7130	55575
398	7145	55533
399	7160	55491
400	7174	55446
401	7188	55398
402	7202	55352
403	7217	55309
404	7231	55265
405	7246	55222
406	7261	55182
407	7276	55145
408	7291	55108
409	7306	55062
410	7320	55020
411	7335	54978
412	7349	54931
413	7363	54889
414	7377	54844
415	7391	54798
416	7406	54757
417	7424	54739
418	7442	54726
419	7459	54706
420	7477	54685
421	7493	54656
422	7509	54624
423	7527	54607
424	7543	54580
425	7559	54549
426	7578	54539
427	7594	54507
428	7609	54472
429	7625	54443
430	7641	54412
431	7657	54380
432	7673	54354
433	7689	54324
434	7705	54292
435	7723	54277
436	7740	54257
437	7757	54233
438	7773	54203
439	7788	54166
440	7804	54135
441	7818	54095
442	7834	54063
443	7849	54026
444	7863	53987
445	7879	53952
446	7894	53919
447	7911	53898
448	7928	53875
449	7943	53842
450	7959	53811
451	7976	53786
452	7992	53760
453	8008	53733
454	8025	53705
455	8041	53678
456	8058	53660
457	8074	53628
458	8089	53593
459	8103	53556
460	8118	53521
461	8133	53483
462	8147	53445
463	8162	53410
464	8178	53381
465	8193	53344
466	8207	53307
467	8222	53271
468	8238	53239
469	8253	53211
470	8268	53176
471	8283	53139
472	8299	53110
473	8313	53074
474	8328	53038
475	8342	53000
476	8357	52964
477	8371	52927
478	8386	52890
479	8400	52853
480	8415	52822
481	8430	52784
482	8444	52745
483	8458	52705
484	8472	52667
485	8486	52630
486	8500	52593
487	8514	52552
488	8529	52518
489	8545	52494
490	8561	52469
491	8576	52433
492	8590	52399
493	8605	52363
494	8619	52327
495	8634	52294
496	8648	52258
497	8663	52222
498	8677	52185
499	8691	52148
500	8705	52111
501	8720	52078
502	8735	52046
503	8751	52023
504	8766	51988
505	8780	51953
506	8797	51932
507	8811	51896
508	8825	51859
509	8839	51822
510	8853	51786
511	8867	51751
512	8881	51714
513	8896	51680
514	8912	51659
515	8927	51625
516	8941	51593
517	8955	51556
518	8970	51521
519	8984	51487
520	8998	51454
521	9012	51418
522	9026	51381
523	9041	51350
524	9056	51321
525	9071	51287
526	9085	51253
527	9099	51219
528	9113	51182
529	9127	51149
530	9141	51114
531	9156	51081
532	9170	51051
533	9185	51019
534	9200	50988
535	9214	50955
536	9229	50922
537	9243	50890
538	9257	50855
539	9271	50820
540	9286	50792
541	9300	50758
542	9314	50723
543	9328	50691
544	9343	50660
545	9358	50630
546	9372	50597
547	9387	50568
548	9402	50540
549	9418	50518
550	9433	50490
551	9448	50462
552	9464	50438
553	9480	50413
554	9496	50392
555	9512	50367
556	9528	50345
557	9544	50322
558	9561	50302
559	9576	50275
560	9591	50246
561	9606	50218
562	9621	50193
563	9637	50167
564	9652	50142
565	9668	50116
566	9682	50088
567	9697	50060
568	9712	50030
569	9727	50002
570	9743	49981
571	9759	49955
572	9774	49930
573	9790	49907
574	9805	49882
575	9821	49856
576	9836	49829
577	9852	49806
578	9867	49780
579	9885	49768
580	9902	49750
581	9918	49729
582	9934	49706
583	9951	49689
584	9972	49690
585	9992	49687
586	10010	49679
587	10028	49665
588	10046	49653
589	10065	49646
590	10083	49632
591	10101	49618
592	10118	49601
593	10135	49587
594	10152	49567
595	10169	49550
596	10187	49539
597	10206	49530
598	10225	49521
599	10243	49510
600	10262	49501
601	10279	49483
602	10295	49460
603	10311	49440
604	10326	49414
605	10341	49386
606	10356	49357
607	10371	49332
608	10386	49305
609	10401	49279
610	10416	49254
611	10432	49230
612	10448	49210
613	10464	49187
614	10479	49161
615	10495	49137
616	10510	49109
617	10525	49085
618	10541	49060
619	10557	49043
620	10572	49016
621	10587	48989
622	10602	48964
623	10618	48938
624	10634	48917
625	10648	48890
626	10664	48866
627	10679	48839
628	10694	48815
629	10709	48787
630	10723	48757
631	10739	48733
632	10753	48705
633	10770	48688
634	10786	48667
635	10802	48645
636	10817	48621
637	10834	48601
638	10851	48584
639	10868	48567
640	10886	48557
641	10902	48534
642	10918	48515
643	10934	48492
644	10949	48467
645	10968	48458
646	10982	48427
647	10995	48395
648	11010	48366
649	11025	48341
650	11044	48334
651	11065	48335
652	11090	48351
653	11113	48361
654	11131	48348
655	11151	48345
656	11169	48334
657	11186	48316
658	11202	48293
659	11220	48283
660	11237	48265
661	11254	48249
662	11271	48231
663	11288	48213
664	11303	48188
665	11319	48166
666	11334	48139
667	11349	48117
668	11369	48113
669	11386	48093
670	11401	48068
671	11416	48043
672	11431	48018
673	11446	47994
674	11462	47970
675	11479	47955
676	11495	47935
677	11511	47913
678	11528	47896
679	11544	47874
680	11560	47854
681	11577	47837
682	11594	47818
683	11609	47793
684	11624	47771
685	11641	47754
686	11657	47731
687	11671	47704
688	11687	47683
689	11704	47665
690	11720	47647
691	11736	47624
692	11753	47608
693	11770	47591
694	11786	47571
695	11803	47552
696	11819	47533
697	11835	47510
698	11850	47487
699	11869	47478
700	11885	47458
701	11901	47436
702	11917	47417
703	11932	47392
704	11948	47369
705	11964	47348
706	11980	47327
707	11995	47303
708	12010	47278
709	12027	47261
710	12042	47237
711	12057	47215
712	12074	47197
713	12089	47173
714	12105	47151
715	12120	47127
716	12137	47111
717	12152	47086
718	12170	47075
719	12189	47066
720	12210	47063
721	12230	47059
722	12248	47044
723	12265	47027
724	12281	47007
725	12298	46989
726	12314	46969
727	12331	46952
728	12347	46934
729	12364	46916
730	12380	46896
731	12396	46876
732	12414	46862
733	12431	46846
734	12447	46827
735	12464	46810
736	12481	46793
737	12497	46773
738	12514	46757
739	12531	46738
740	12550	46729
741	12572	46731
742	12594	46733
743	12615	46733
744	12636	46728
